TaxID,ScientificName,ParentTaxID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
114056,Trichogramma_dendrolimi,7490,Metazoa,Arthropoda,Insecta,Hymenoptera,Trichogrammatidae,Trichogramma,Trichogramma dendrolimi,
1140757,Emesis_ocypore,2613977,Metazoa,Arthropoda,Insecta,Lepidoptera,Riodinidae,Emesis,Emesis ocypore,
114083,Cyanocitta_stelleri,28726,Metazoa,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,Cyanocitta stelleri,
1140935,Omiodes_indicata,581945,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Omiodes,Omiodes indicata,
1141077,Thisbe_lycorias,124379,Metazoa,Arthropoda,Insecta,Lepidoptera,Riodinidae,Thisbe,Thisbe lycorias,
1141098,Pseudomassariella_vexata,1812772,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Pseudomassariaceae,Pseudomassariella,Pseudomassariella vexata,
1141471,Anopheles_pretoriensis,44534,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Anopheles,Anopheles pretoriensis,
114155,Dichomitus_squalens,114154,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Dichomitus,Dichomitus squalens,
114194,Alopecurus_aequalis,15303,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Alopecurus,Alopecurus aequalis,
114195,Alopecurus_geniculatus,15303,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Alopecurus,Alopecurus geniculatus,
114204,Narthecium_ossifragum,114203,Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Nartheciaceae,Narthecium,Narthecium ossifragum,
1142140,Tanozyma_kutaoensis,3315610,Fungi,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Tanozyma,Tanozyma kutaoensis,
1142201,Danio_aesculapii,7954,Metazoa,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Danio aesculapii,
114229,Spilocuscus_rufoniger,114228,Metazoa,Chordata,Mammalia,Diprotodontia,Phalangeridae,Spilocuscus,Spilocuscus rufoniger,
114231,Nigrospora_sphaerica,114230,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Nigrospora,Nigrospora sphaerica,
114276,Cephalopterus_ornatus,114275,Metazoa,Chordata,Aves,Passeriformes,Cotingidae,Cephalopterus,Cephalopterus ornatus,
114280,Cichorium_endivia,13426,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium endivia,
